2.695 3 36021344 481370464 3234 30218 1493 328 0 510084960 31 7 
2.945 3 36021112 481370816 3263 30991 1488 285 0 510085240 31 8 
3.196 3 36020932 481371104 3295 31577 1488 262 0 510085480 31 9 
3.445 3 36020768 481371392 3333 32116 1490 258 0 510085720 31 10 
3.697 3 36020636 481371744 3378 32630 1494 241 0 510085960 31 11 
3.945 3 36020512 481372096 3438 33221 1499 243 0 510086240 31 12 
4.199 3 36020448 481372512 3498 33735 1502 227 0 510086480 31 13 
4.445 3 36020424 481372864 3560 34270 1504 229 0 510086720 31 14 
4.697 3 36020444 481373184 23 34840 1503 231 0 510086960 31 1 
4.945 3 36020508 481373664 96 35553 1500 233 0 510087240 31 2 
5.198 3 36020608 481373952 159 36197 1495 236 0 510087480 31 3 
5.446 3 36020744 481374304 223 36859 1489 255 0 510087720 31 4 
5.695 3 36020912 481374592 286 37528 1482 266 0 510087960 31 5 
5.946 3 36021156 481374944 361 38299 1475 266 0 510088240 31 6 
6.195 3 36021392 481375264 425 38942 1469 260 0 510088480 31 7 
6.445 3 36021656 481375456 487 39563 1464 252 0 510088720 31 8 
6.696 3 36021944 481375648 546 40167 1461 228 0 510088960 31 9 
6.946 3 36022300 481375840 605 40861 1457 213 0 510089240 31 10 
7.196 3 36022612 481376000 648 41446 1454 213 0 510089480 31 11 
7.446 3 36022936 481376160 685 42021 1451 214 0 510089720 31 12 
7.696 3 36023268 481376256 716 42582 1448 206 0 510089960 31 13 
7.946 3 36023656 481376352 744 43212 1445 214 0 510090240 31 14 
8.196 3 36023992 481376384 761 43727 1443 213 0 510090480 31 1 
8.445 3 36024332 481376512 773 44217 1442 201 0 510090720 31 2 
8.697 3 36024668 481376544 780 44678 1442 202 0 510090960 31 3 
8.946 3 36025064 481376640 780 45178 1444 173 0 510091240 31 4 
9.196 3 36025404 481376704 774 45572 1447 153 0 510091480 31 5 
9.445 3 36025744 481376800 762 45937 1451 157 0 510091720 31 6 
9.696 3 36026080 481376896 745 46278 1456 147 0 510091960 31 7 
9.946 3 36026468 481377056 718 46654 1462 152 0 510092240 31 8 
10.195 3 36026800 481377152 690 46970 1467 143 0 510092480 31 9 
10.445 3 36027120 481377312 660 47295 1471 149 0 510092720 31 10 
10.695 3 36027436 481377440 633 47642 1474 146 0 510092960 31 11 
10.946 3 36027800 481377664 607 48088 1475 166 0 510093240 31 12 
11.196 3 36028100 481377856 591 48504 1473 181 0 510093480 31 13 
11.446 3 36028400 481378048 580 48942 1469 198 0 510093720 31 14 
11.695 3 36028700 481378240 575 49389 1465 196 0 510093960 31 1 
11.945 3 36029044 481378464 576 49899 1460 205 0 510094240 31 2 
12.196 3 36029340 481378656 584 50314 1456 217 0 510094480 31 3 
12.445 3 36029644 481378848 596 50697 1454 204 0 510094720 31 4 
12.696 3 36029948 481378944 615 51048 1453 171 0 510094960 31 5 
