3.495 0 0. 
4.995 1 0. 
6.495 2 75. 
7.995 3 0. 
9.495 4 0. 
10.995 5 17. 
12.495 6 100. 
13.995 7 2. 
15.494 8 1. 
16.996 9 0. 
18.495 10 0. 
19.995 0 0. 
21.495 1 0. 
22.995 2 75. 
24.495 3 0. 
25.995 4 0. 
27.496 5 33. 
28.995 6 100. 
30.495 7 2. 
31.995 8 1. 
33.495 9 0. 
34.995 10 0. 
36.495 0 0. 
37.995 1 0. 
39.495 2 30. 
40.995 3 0. 
42.495 4 0. 
43.995 5 50. 
45.495 6 100. 
46.995 7 2. 
48.495 8 1. 
49.995 9 0. 
51.495 10 0. 
52.995 0 0. 
54.494 1 0. 
55.995 2 30. 
57.495 3 0. 
58.995 4 0. 
60.495 5 66. 
61.994 6 100. 
63.495 7 2. 
64.994 8 1. 
66.495 9 0. 
67.995 10 0. 
69.495 0 0. 
70.995 1 0. 
72.495 2 11.862331 
73.995 3 0. 
75.495 4 0. 
76.995 5 83. 
78.495 6 100. 
79.994 7 2. 
81.495 8 1. 
82.995 9 0. 
84.495 10 0. 
85.995 0 0. 
87.495 1 0. 
88.994 2 5.356419 
90.495 3 0. 
91.995 4 0. 
93.495 5 99. 
94.995 6 100. 
96.495 7 2. 
97.995 8 1. 
99.495 9 0. 
100.995 10 0. 
102.495 0 0. 
103.995 1 0. 
105.495 2 5.356419 
106.995 3 0. 
108.495 4 0. 
109.995 5 116. 
111.495 6 100. 
112.995 7 2. 
114.494 8 1. 
115.995 9 0. 
117.495 10 0. 
118.995 0 0. 
120.495 1 0. 
121.995 2 5.356419 
123.495 3 0. 
124.994 4 0. 
126.494 5 132. 
127.994 6 100. 
129.495 7 2. 
130.995 8 1. 
132.495 9 0. 
133.995 10 0. 
135.495 0 0. 
136.995 1 0. 
138.495 2 5.356419 
139.995 3 0. 
141.495 4 0. 
142.995 5 149. 
144.495 6 100. 
145.995 7 2. 
147.495 8 1. 
148.995 9 0. 
150.495 10 0. 
151.995 0 0. 
153.495 1 0. 
154.995 2 5.356419 
156.495 3 0. 
157.995 4 0. 
159.494 5 165. 
160.995 6 100. 
162.495 7 2. 
163.994 8 1. 
165.494 9 0. 
166.994 10 0. 
168.495 0 0. 
169.994 1 0. 
171.495 2 5.356419 
172.995 3 0. 
174.495 4 0. 
175.995 5 182. 
177.495 6 100. 
178.995 7 2. 
180.495 8 1. 
181.995 9 0. 
183.495 10 0. 
184.995 0 0. 
186.494 1 0. 
187.994 2 5.356419 
189.495 3 0. 
190.994 4 0. 
192.495 5 198. 
193.995 6 100. 
195.495 7 2. 
196.995 8 1. 
198.494 9 0. 
199.995 10 0. 
201.494 0 0. 
202.995 1 0. 
204.495 2 5.356419 
205.995 3 0. 
207.495 4 0. 
208.995 5 215. 
210.495 6 100. 
211.995 7 2. 
213.495 8 1. 
214.995 9 0. 
216.495 10 0. 
217.995 0 0. 
219.495 1 0. 
220.995 2 5.356419 
222.495 3 0. 
223.995 4 0. 
225.495 5 231. 
226.995 6 100. 
228.495 7 2. 
229.995 8 1. 
231.495 9 0. 
232.995 10 0. 
234.495 0 0. 
235.995 1 0. 
237.495 2 5.356419 
238.994 3 0. 
240.495 4 0. 
241.994 5 248. 
243.495 6 100. 
244.994 7 2. 
246.495 8 1. 
247.995 9 0. 
249.495 10 0. 
250.995 0 0. 
252.495 1 0. 
253.996 2 5.356419 
255.495 3 0. 
256.995 4 0. 
258.497 5 264. 
259.994 6 100. 
261.494 7 2. 
262.995 8 1. 
264.495 9 0. 
265.994 10 0. 
267.495 0 0. 
268.995 1 0. 
270.495 2 5.356419 
271.995 3 0. 
273.495 4 0. 
274.995 5 281. 
276.495 6 100. 
277.995 7 2. 
279.495 8 1. 
280.995 9 0. 
282.495 10 0. 
283.995 0 0. 
285.496 1 0. 
286.994 2 5.356419 
288.496 3 0. 
289.996 4 0. 
291.495 5 297. 
292.995 6 100. 
294.496 7 2. 
295.997 8 1. 
297.494 9 0. 
298.995 10 0. 
300.496 0 0. 
301.997 1 0. 
303.499 2 5.356419 
305.000 3 0. 
306.495 4 0. 
307.995 5 314. 
309.494 6 100. 
310.995 7 2. 
312.495 8 1. 
313.995 9 0. 
315.495 10 0. 
316.995 0 0. 
318.495 1 0. 
319.994 2 5.356419 
321.495 3 0. 
322.995 4 0. 
324.495 5 330. 
325.994 6 100. 
327.495 7 2. 
328.995 8 1. 
330.495 9 0. 
331.994 10 0. 
333.495 0 0. 
334.994 1 0. 
336.495 2 5.356419 
337.994 3 0. 
339.495 4 0. 
340.994 5 347. 
342.494 6 100. 
343.995 7 2. 
345.495 8 1. 
